Date,tx_count,active_addresses,tx_volume_usd,hash_rate
2009-09-13,75,75,,3.479718874e-06
2009-09-14,74,74,,4.02653184e-06
2009-09-15,45,45,,2.783775099e-06
2009-09-16,72,72,,2.883195639e-06
2009-09-17,85,86,,4.125952379e-06
2009-09-18,78,78,,4.02653184e-06
2009-09-19,74,74,,3.529429144e-06
2009-09-20,78,78,,3.927111301e-06
2009-09-21,70,70,,3.678559953e-06
2009-09-22,27,27,,1.690149167e-06
2009-09-23,35,35,,1.34217728e-06
2009-09-24,97,97,,4.07624211e-06
2009-09-25,93,93,,4.971026963e-06
2009-09-26,100,100,,4.672765345e-06
2009-09-27,88,88,,4.424213997e-06
2009-09-28,85,85,,4.374503727e-06
2009-09-29,90,90,,4.125952379e-06
2009-09-30,85,85,,4.324793458e-06
2009-10-01,82,82,,4.225372919e-06
2009-10-02,73,73,,3.728270222e-06
2009-10-03,58,58,,2.883195639e-06
2009-10-04,53,53,,3.032326447e-06
2009-10-05,55,55,,2.883195639e-06
2009-10-06,46,45,,2.038121055e-06
2009-10-07,59,59,,2.535223751e-06
2009-10-08,70,70,,3.479718874e-06
2009-10-09,77,77,,3.877401031e-06
2009-10-10,79,79,,3.827690761e-06
2009-10-11,74,74,,3.927111301e-06
2009-10-12,59,59,,3.082036717e-06
2009-10-13,57,57,,2.535223751e-06
2009-10-14,69,69,,2.783775099e-06
2009-10-15,71,71,,4.225372919e-06
2009-10-16,61,61,,3.231167526e-06
2009-10-17,57,57,,2.73406483e-06
2009-10-18,75,75,,3.181457256e-06
2009-10-19,112,112,,4.921316693e-06
2009-10-20,96,97,,5.517839929e-06
2009-10-21,81,81,,4.125952379e-06
2009-10-22,91,91,,4.275083188e-06
2009-10-23,89,89,,4.324793458e-06
2009-10-24,63,63,,3.728270222e-06
2009-10-25,76,76,,3.628849683e-06
2009-10-26,71,71,,3.231167526e-06
2009-10-27,65,65,,3.280877796e-06
2009-10-28,67,67,,3.181457256e-06
2009-10-29,47,47,,2.485513481e-06
2009-10-30,60,60,,3.032326447e-06
2009-10-31,46,46,,2.236962133e-06
2009-11-01,25,25,,1.491308089e-06
2009-11-02,33,33,,1.640438898e-06
2009-11-03,62,62,,2.833485369e-06
2009-11-04,64,64,,3.082036717e-06
2009-11-05,58,58,,3.181457256e-06
2009-11-06,61,61,,2.435803212e-06
2009-11-07,69,69,,3.777980492e-06
2009-11-08,73,73,,3.479718874e-06
2009-11-09,64,64,,3.231167526e-06
2009-11-10,78,78,,3.529429144e-06
2009-11-11,73,66,,3.430008604e-06
2009-11-12,66,66,,3.479718874e-06
2009-11-13,83,83,,3.479718874e-06
2009-11-14,79,79,,4.125952379e-06
2009-11-15,96,96,,4.772185884e-06
2009-11-16,97,97,,4.971026963e-06
2009-11-17,92,92,,4.523634536e-06
2009-11-18,79,79,,3.927111301e-06
2009-11-19,72,72,,3.628849683e-06
2009-11-20,86,86,,4.07624211e-06
2009-11-21,73,73,,3.827690761e-06
2009-11-22,106,106,,4.971026963e-06
2009-11-23,96,96,,4.772185884e-06
2009-11-24,93,93,,5.070447502e-06
2009-11-25,90,90,,4.225372919e-06
2009-11-26,84,84,,3.877401031e-06
2009-11-27,74,74,,3.728270222e-06
2009-11-28,71,71,,3.877401031e-06
2009-11-29,60,60,,2.883195639e-06
2009-11-30,75,75,,3.678559953e-06
2009-12-01,74,75,,3.280877796e-06
2009-12-02,94,94,,4.871606424e-06
2009-12-03,88,88,,4.225372919e-06
2009-12-04,36,36,,2.435803212e-06
2009-12-05,65,,,2.584934021e-06
2009-12-06,105,105,,5.219578311e-06
2009-12-07,112,112,,4.672765345e-06
2009-12-08,107,106,,5.915522086e-06
2009-12-09,109,109,,4.672765345e-06
2009-12-10,104,104,,5.120157772e-06
2009-12-11,112,112,,6.213783704e-06
2009-12-12,112,111,,5.020737233e-06
2009-12-13,114,114,,5.169868041e-06
2009-12-14,107,108,,5.36870912e-06
2009-12-15,112,113,,5.766391277e-06
2009-12-16,137,137,,5.915522086e-06
2009-12-17,172,173,,8.00335341e-06
2009-12-18,225,225,,9.942053926e-06
2009-12-19,199,199,,1.11351004e-05
2009-12-20,175,175,,8.699297185e-06
2009-12-21,176,176,,9.295820421e-06
2009-12-22,162,162,,7.555960984e-06
2009-12-23,154,154,,8.401035567e-06
2009-12-24,154,154,,7.158278827e-06
2009-12-25,150,151,,7.804512332e-06
2009-12-26,174,174,,7.903932871e-06
2009-12-27,168,168,,8.401035567e-06
2009-12-28,137,137,,6.860017209e-06
2009-12-29,171,171,,8.152484219e-06
2009-12-30,141,141,,9.173151748e-06
2009-12-31,138,138,,8.820338219e-06
2010-01-01,133,133,,6.997468321e-06
2010-01-02,127,127,,7.644293123e-06
2010-01-03,186,186,,9.584767532e-06
2010-01-04,183,184,,1.117242841e-05
2010-01-05,198,198,,1.2230869e-05
2010-01-06,163,163,,9.290756258e-06
2010-01-07,154,154,,9.349558512e-06
2010-01-08,153,153,,8.820338219e-06
2010-01-09,151,151,,8.70273371e-06
2010-01-10,190,190,,1.123123067e-05
2010-01-11,159,159,,9.055547239e-06
2010-01-12,161,162,,1.076924841e-05
2010-01-13,166,168,,1.025024849e-05
2010-01-14,145,146,,1.025024849e-05
2010-01-15,142,142,,8.8229987e-06
2010-01-16,126,126,,8.69324872e-06
2010-01-17,131,131,,7.979623825e-06
2010-01-18,126,127,,8.433748758e-06
2010-01-19,124,124,,7.720123863e-06
2010-01-20,158,158,,9.082498662e-06
2010-01-21,184,183,,1.15477483e-05
2010-01-22,136,136,,9.731248567e-06
2010-01-23,162,163,,9.796123557e-06
2010-01-24,155,155,,9.406873615e-06
2010-01-25,215,215,,1.356482251e-05
2010-01-26,201,201,,1.349800072e-05
2010-01-27,166,165,,1.182745608e-05
2010-01-28,179,178,,1.156016893e-05
2010-01-29,201,199,,1.289660465e-05
2010-01-30,214,214,,1.202792143e-05
2010-01-31,167,167,,1.376528786e-05
2010-02-01,193,193,,1.196109965e-05
2010-02-02,146,146,,9.488693575e-06
2010-02-03,272,271,,1.623769393e-05
2010-02-04,234,234,,1.543583251e-05
2010-02-05,227,228,,2.214934973e-05
2010-02-06,206,195,,1.726745224e-05
2010-02-07,222,224,,1.871394038e-05
2010-02-08,208,208,,1.907556242e-05
2010-02-09,210,211,,1.88947514e-05
2010-02-10,173,171,,1.437447595e-05
2010-02-11,174,172,,1.609218062e-05
2010-02-12,188,189,,1.69058302e-05
2010-02-13,235,235,,2.025083404e-05
2010-02-14,219,215,,1.862353487e-05
2010-02-15,185,187,,2.324609142e-05
2010-02-16,201,202,,2.198954594e-05
2010-02-17,250,248,,2.915185519e-05
2010-02-18,215,214,,2.877489154e-05
2010-02-19,195,197,,2.249216413e-05
2010-02-20,210,210,,2.789530971e-05
2010-02-21,227,227,,2.689007332e-05
2010-02-22,265,266,,3.20419098e-05
2010-02-23,251,251,,3.15392916e-05
2010-02-24,177,176,,3.571305363e-05
2010-02-25,158,158,,2.781858914e-05
2010-02-26,176,177,,3.195378482e-05
2010-02-27,175,175,,3.251767514e-05
2010-02-28,159,159,,3.04500773e-05
2010-03-01,199,199,,3.496119987e-05
2010-03-02,193,193,,3.684083427e-05
2010-03-03,158,157,,2.781858914e-05
2010-03-04,188,188,,3.42093461e-05
2010-03-05,173,173,,3.289360202e-05
2010-03-06,183,182,,3.439730954e-05
2010-03-07,183,183,,3.251767514e-05
2010-03-08,130,132,,3.063281619e-05
2010-03-09,148,148,,3.333571174e-05
2010-03-10,169,170,,3.356095303e-05
2010-03-11,136,136,,3.288522914e-05
2010-03-12,123,123,,2.657847287e-05
2010-03-13,154,154,,3.558812469e-05
2010-03-14,127,127,,2.815516194e-05
2010-03-15,140,143,,2.792992064e-05
2010-03-16,129,129,,3.063281619e-05
2010-03-17,139,139,,2.770467935e-05
2010-03-18,149,148,,3.51376421e-05
2010-03-19,162,162,,2.99570923e-05
2010-03-20,204,207,,4.347157003e-05
2010-03-21,190,187,,4.076867449e-05
2010-03-22,186,185,,4.016757981e-05
2010-03-23,220,215,,4.652177323e-05
